Gene Symbol,Bladder Count,Lung Count,Brain Count
ANKRD36B,0,0,0
ANKRD36BP1,0,0,0
ANKRD36BP2,0,0,0
ANKRD36C,0,0,0
ANKRD36P1,0,0,0
ANKRD37,0,0,0
ANKRD39,0,0,0
ANKRD40,0,0,0
ANKRD42,0,0,0
ANKRD44,0,0,0
ANKRD44-IT1,0,0,0
ANKRD45,0,0,0
ANKRD46,0,0,0
ANKRD49,0,0,0
ANKRD50,0,0,0
ANKRD52,0,0,0
ANKRD53,0,0,0
ANKRD54,0,0,0
ANKRD54P1,0,0,0
ANKRD55,0,0,0
ANKRD57P1,0,0,0
ANKRD60,0,0,0
ANKRD61,0,0,0
ANKRD62,0,0,0
ANKRD62P1,0,0,0
ANKRD62P1-PARP4P3,0,0,0
ANKRD63,0,0,0
ANKRD65,0,0,0
ANKRD66,0,0,0
ANKS1A,0,0,0
ANKS1B,0,0,0
ANKS3,0,0,0
ANKS4B,0,0,0
ANKS6,0,0,0
ANKUB1,0,0,0
ANKZF1,0,0,0
ANLN,2,0,0
ANO1,0,0,0
ANO1-AS1,0,0,0
ANO1-AS2,0,0,0
ANO2,0,0,0
ANO3,0,0,0
